1/01/19;ANTIOQUIA;37
1/01/19;ANTIOQUIA;62
1/01/19;ANTIOQUIA;24
1/01/19;ANTIOQUIA;34
1/01/19;ANTIOQUIA;33
1/01/19;ANTIOQUIA;37
1/01/19;ANTIOQUIA;37
1/01/19;ANTIOQUIA;22
1/01/19;ANTIOQUIA;20
1/01/19;ANTIOQUIA;37
1/01/19;ANTIOQUIA;18
1/01/19;ANTIOQUIA;30
1/01/19;ANTIOQUIA;30
1/01/19;ANTIOQUIA;20
1/01/19;ANTIOQUIA;17
1/01/19;ATLÁNTICO;33
1/01/19;ATLÁNTICO;29
1/01/19;ATLÁNTICO;18
1/01/19;ATLÁNTICO;28
1/01/19;BOLÍVAR;28
1/01/19;BOLÍVAR;56
1/01/19;BOLÍVAR;18
1/01/19;BOLÍVAR;24
1/01/19;CAQUETÁ;48
1/01/19;CAQUETÁ;29
1/01/19;CAUCA;45
1/01/19;CAUCA;76
1/01/19;CAUCA;40
1/01/19;CAUCA;32
1/01/19;CÓRDOBA;21
1/01/19;CUNDINAMARCA;42
1/01/19;CUNDINAMARCA;44
1/01/19;CUNDINAMARCA;38
1/01/19;CUNDINAMARCA;28
1/01/19;CUNDINAMARCA;25
1/01/19;CUNDINAMARCA;28
1/01/19;CUNDINAMARCA;16
1/01/19;CUNDINAMARCA;21
1/01/19;GUAJIRA;27
1/01/19;HUILA;46
1/01/19;HUILA;53
1/01/19;HUILA;21
1/01/19;HUILA;21
1/01/19;HUILA;29
1/01/19;HUILA;18
1/01/19;HUILA;23
1/01/19;HUILA;66
1/01/19;MAGDALENA;31
1/01/19;MAGDALENA;23
1/01/19;META;28
1/01/19;META;16
1/01/19;NARIÑO;29
1/01/19;NARIÑO;38
1/01/19;NARIÑO;39
1/01/19;NARIÑO;21
1/01/19;NARIÑO;42
1/01/19;NARIÑO;50
1/01/19;NORTE DE SANTANDER;27
1/01/19;NORTE DE SANTANDER;28
1/01/19;NORTE DE SANTANDER;26
1/01/19;PUTUMAYO;35
1/01/19;QUINDÍO;19
1/01/19;QUINDÍO;22
1/01/19;RISARALDA;38
1/01/19;SAN ANDRÉS;35
1/01/19;SANTANDER;39
1/01/19;SANTANDER;20
1/01/19;SUCRE;29
1/01/19;SUCRE;33
1/01/19;TOLIMA;24
1/01/19;TOLIMA;37
1/01/19;TOLIMA;62
1/01/19;TOLIMA;21
1/01/19;TOLIMA;20
1/01/19;VALLE;35
1/01/19;VALLE;24
1/01/19;VALLE;21
1/01/19;VALLE;21
1/01/19;VALLE;34
1/01/19;VALLE;22
1/01/19;VALLE;16
1/01/19;VALLE;31
1/01/19;VALLE;21
1/01/19;VALLE;24
1/01/19;VALLE;20
1/01/19;VALLE;51
1/01/19;VALLE;35
1/01/19;VALLE;20
1/01/19;VALLE;30
1/01/19;VALLE;15
1/01/19;VALLE;19
1/01/19;VALLE;26
2/01/19;ANTIOQUIA;18
2/01/19;ANTIOQUIA;26
